Plant group,Taxonomic Division,Family,Genus,Species,NCBI name (if different),Status,Priority,Collected in 2020,"""Black list"" (collected/sequenced by others)",Collected by RBGE after jan2021,Collected by RBGE after jan2022,Shipping,Notes
bryophyte,Liverwort,Lophocoleaceae,Lophocolea,fragrans,,dtol,,,,,,,
bryophyte,Liverwort,Lophocoleaceae,Lophocolea,heterophylla,,dtol,,,,,,,
bryophyte,Liverwort,Lophocoleaceae,Lophocolea,semiteres,,dtol,,,,yes,,RBGE_000021,not native
bryophyte,Liverwort,Lophoziaceae,Heterogemma,capitata,,dtol,,,,,,,
bryophyte,Liverwort,Lophoziaceae,Lophozia,excisa,,dtol,,,,yes,,RBGE_000021,
bryophyte,Liverwort,Lophoziaceae,Lophozia,guttulata,,dtol,,,,,,,
bryophyte,Liverwort,Lophoziaceae,Lophozia,longidens,,dtol,,,,,,,
bryophyte,Liverwort,Lophoziaceae,Lophozia,ventricosa,,dtol_other_priority,yes,,,yes,,,
bryophyte,Liverwort,Lophoziaceae,Lophozia,wenzelii,,dtol,,,,,,,
bryophyte,Liverwort,Lophoziaceae,Tritomaria,exsecta,,dtol,,,,,,,
bryophyte,Liverwort,Lophoziaceae,Tritomaria,exsectiformis,,dtol,,,,,,,
bryophyte,Liverwort,Lophoziaceae,Tritomaria,quinquedentata,,dtol_family_representative,yes,yes,,,,RBGE_000016,
bryophyte,Liverwort,Lunulariaceae,Lunularia,cruciata,,dtol_family_representative,yes,yes,,,,"RBGE_0004, 000009",
bryophyte,Liverwort,Marchantiaceae,Marchantia,polymorpha,,dtol_other_priority,yes,,yes,yes,,RBGE_000016,subsp. montivagans sampled
bryophyte,Liverwort,Marchantiaceae,Marchantia,polymorpha,,dtol,,,,,,,evo-devo model - already a lot of genome sequencing effort
bryophyte,Liverwort,Marchantiaceae,Marchantia,quadrata,,dtol_family_representative,yes,,,yes,,RBGE_000014,
bryophyte,Liverwort,Mastigophoraceae,Mastigophora,woodsii,,dtol_family_representative,yes,,,yes,,RBGE_000014,
bryophyte,Liverwort,Metzgeriaceae,Metzgeria,conjugata,,dtol,,,,yes,,RBGE_000014,
bryophyte,Liverwort,Metzgeriaceae,Metzgeria,consanguinea,,dtol,,,,,,,
bryophyte,Liverwort,Metzgeriaceae,Metzgeria,furcata,,dtol_family_representative,yes,yes,,,,RBGE_0003,
bryophyte,Liverwort,Metzgeriaceae,Metzgeria,leptoneura,,dtol,,,,,,,
bryophyte,Liverwort,Metzgeriaceae,Metzgeria,pubescens,,dtol,,,,,,,
bryophyte,Liverwort,Metzgeriaceae,Metzgeria,violacea,,dtol_other_priority,yes,,,,yes,,
bryophyte,Liverwort,Moerckiaceae,Moerckia,blyttii,,dtol_other_priority,yes,,,,,,M. blyttii is a different genus to the other two spp and quite phylogenetically separated
bryophyte,Liverwort,Moerckiaceae,Moerckia,flotoviana,,dtol,,,,,,,
bryophyte,Liverwort,Moerckiaceae,Moerckia,hibernica,,dtol_family_representative,yes,,,,,,
bryophyte,Liverwort,Myliaceae,Mylia,anomala,,dtol_other_priority,yes,,,,,,Large genome
bryophyte,Liverwort,Myliaceae,Mylia,taylorii,,dtol_family_representative,yes,,,yes,,RBGE_000014,Large genome
bryophyte,Liverwort,Pallaviciniaceae,Pallavicinia,lyellii,,dtol_family_representative,yes,,,,,,
bryophyte,Liverwort,Pelliaceae,Pellia,endiviifolia,,dtol_family_representative,yes,,,yes,,RBGE_000013,
bryophyte,Liverwort,Pelliaceae,Pellia,epiphylla,,dtol_other_priority,yes,,,yes,,RBGE_000021,
bryophyte,Liverwort,Pelliaceae,Pellia,neesiana,,dtol,,,,,yes,,
bryophyte,Liverwort,Petalophyllaceae,Petalophyllum,ralfsii,,dtol_family_representative,yes,,,,,,red-listed but can be germinated from site soil samples
bryophyte,Liverwort,Plagiochilaceae,Pedinophyllum,interruptum,,dtol,,,,,,,
bryophyte,Liverwort,Plagiochilaceae,Plagiochila,asplenioides,,dtol,,,,yes,,,
bryophyte,Liverwort,Plagiochilaceae,Plagiochila,bifaria,,dtol,,,,,,,
bryophyte,Liverwort,Plagiochilaceae,Plagiochila,britannica,,dtol,,,,,,,
bryophyte,Liverwort,Plagiochilaceae,Plagiochila,carringtonii,,dtol_other_priority,yes,,,,yes,,One of Sanger's 25 Genomes project
bryophyte,Liverwort,Plagiochilaceae,Plagiochila,exigua,,dtol,,,,,,,
bryophyte,Liverwort,Plagiochilaceae,Plagiochila,heterophylla,,dtol,,,,,,,
bryophyte,Liverwort,Plagiochilaceae,Plagiochila,porelloides,,dtol_family_representative,yes,yes,,,,RBGE_0002,
bryophyte,Liverwort,Plagiochilaceae,Plagiochila,punctata,,dtol,,,,,,,
bryophyte,Liverwort,Plagiochilaceae,Plagiochila,spinulosa,,dtol,,,,yes,,RBGE_000019,
bryophyte,Liverwort,Pleuroziaceae,Pleurozia,purpurea,,dtol_family_representative,yes,,,yes,,RBGE_000014,
bryophyte,Liverwort,Porellaceae,Porella,arboris-vitae,,dtol_other_priority,yes,,,yes,,RBGE_000014,
